,course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_max_enroll,course_enrolled,course_remained,course_crn,course_department,course_level,course_section
0,DIGITAL CONSTRUCTS 2,LEC,2,F,10:00,11:50AM,Hower,20,0,20,15272,ARCH,2530,01
1,ARCHITECTURAL DESIGN STUDIO 2,LEC,5,MTWR,2:00,5:50PM,Staff,20,0,20,15270,ARCH,2810,01
2,FUNDAMENTALS OF MUSIC & SOUND,LEC,4,MTRF,10:30,12:35PM,Chamberlai,19,0,19,15710,ARTS,1380,01
3,"MUSIC, AFFECT & EMBOD LISTEN",LEC,4,MTRF,1:30,3:35PM,Chamberlai,19,0,19,15694,ARTS,2968,01
4,"ART, COMMUNITY AND TECHNOLOGY",STU,4,MTRF,1:30,3:35PM,Miller,19,0,19,15467,ARTS,4080,01
5,"ART, COMMUNITY AND TECHNOLOGY",STU,4,MTRF,1:30,3:35PM,Miller,19,0,19,15468,ARTS,6250,01
6,ASTROPHYSICS,LEC,4,MTRF,11:45,1:50PM,Ciolek,30,0,30,15474,ASTR,4220,01
7,HEALTH ANLYTCS CHALLENGES LAB,LAB,4,MTR,1:30,4:30PM,Bennett,10,0,10,15528,BIOL,4960,01
8,CHEMISTRY II,LEC,4,MTRF,10:30,12:35PM,Tysoe,20,0,20,15369,CHEM,1200,01
9,ORGANIC CHEMISTRY LAB II,LEC,1,MR,2:00,4:50PM,Totsingan,20,0,20,15012,CHEM,2240,01
10,ORGANIC CHEMISTRY II,LEC,3,MTRF,10:30,12:20PM,Aldersley,40,0,40,15011,CHEM,2260,01
11,INTRO TO COGNITIVE SCIENCE,LEC,4,MTRF,10:30,12:35PM,Weissman,25,0,25,15689,COGS,2120,01
12,DOCUMENTARY FILM,LEC,4,MTRF,1:30,3:35PM,Gordon,19,0,19,15709,COMM,2440,01
13,INTERNAT ECO AND GLOBALIZATION,LEC,4,MTRF,1:30,3:35PM,Mahmoudi,40,0,40,15731,ECON,4190,01
14,ENVIRONMENTAL ECONOMICS,STU,4,MTRF,8:00,10:05AM,Parrales,40,0,40,15515,ECON,4230,02
15,ECONOMETRICS,LEC,4,MTRF,10:30,12:35PM,Peng,40,0,40,15518,ECON,4570,01
16,THERMAL AND FLUIDS ENGR I,LEC,4,MTRF,8:00,10:05AM,Staff,50,0,50,15306,ENGR,2250,02
17,PROFESSIONAL DEVEL III,LEC,1,MR,8:00,10:05AM,Schierenbe,45,0,45,15417,ENGR,4010,02
18,CHINESE LANG & CULTURE IN FILM,LEC,4,MTRF,1:30,3:35PM,Yue,19,0,19,15732,LANG,2960,01
19,ENTERPRISE IT INTEGRATION,LEC,4,MR,5:00,8:20PM,Demertzogl,15,0,15,15675,MGMT,4130,01
20,ENTERPRISE IT INTEGRATION,LEC,3,MR,5:00,8:20PM,Demertzogl,15,0,15,15676,MGMT,6090,01
21,"STRATEGY, TECH & COMPETITION I",LEC,3,MW,1:00,4:20PM,Kumar,20,0,20,15380,MGMT,7030,02
22,PHILOSOPHY OF SCIENCE,LEC,4,MTR,10:00,12:50PM,Milanese,25,0,25,15516,PHIL,4130,01
23,PHILOSOPHY OF SCIENCE,LEC,4,MTR,1:00,3:50PM,Milanese,25,0,25,15517,PHIL,4130,02
24,PHYSICS II,LEC,4,MTRF,2:00,3:50PM,Kim,48,0,48,15080,PHYS,1200,01
25,MATHEMATICAL PHYS FOR PHYSICIS,LEC,2,TF,1:30,3:35PM,Georg,40,0,40,15444,PHYS,2963,01
26,INTRO TO COGNITIVE SCIENCE,LEC,4,MTRF,10:30,12:35PM,Weissman,25,0,25,15690,PSYC,2120,01
27,APPLIED BEHAVIOR ANALYSIS,LEC,4,MTRF,8:00,10:05AM,Kalsher,29,0,29,15733,PSYC,4962,01
28,PD2 TECH ISSUES & SOLUTIONS,LEC,2,MR,10:30,12:35PM,Hirsa,30,0,30,15704,STSS,4100,03
29,PD2 TECH ISSUES & SOLUTIONS,LEC,2,MR,1:30,3:35PM,Hirsa,30,0,30,15706,STSS,4100,04
