,course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_max_enroll,course_enrolled,course_remained,course_crn,course_department,course_level,course_section
0,DIGITAL CONSTRUCTS I,LEC,2,F,10:00,11:50AM,Hower,20,0,20,15268,ARCH,2520,01
1,ARCHITECTURAL DESIGN STUDIO 1,LEC,5,MTWR,2:00,5:50PM,Staff,20,0,20,15269,ARCH,2800,01
2,SOUND RECORDING & PROD I,STU,4,MR,10:30,12:45PM,Rice,6,0,6,15669,ARTS,2700,01
3,SOUND RECORDING & PROD I,STU,4,MR,10:30,12:45PM,Rice,6,0,6,15670,ARTS,2700,02
4,INTRODUCTION TO BIOLOGY,LEC,3,TRF,10:30,12:35PM,Ramanath/Shablovsky,32,0,32,15232,BIOL,1010,01
5,INTRODUCTION TO BIOLOGY LAB,LAB,1,TF,1:15,3:50PM,Ramanath/Shablovsky,32,0,32,15233,BIOL,1015,01
6,BIOSTATISTICS,LEC,4,MTR,1:30,4:50PM,Lister,16,0,16,15340,BIOL,4200,01
7,CHEMISTRY I,LEC,4,MTRF,10:30,12:35PM,Ma,20,0,20,15246,CHEM,1100,01
8,ORGANIC CHEMISTRY LAB I,LEC,1,MR,2:00,4:50PM,Totsingan,20,0,20,15009,CHEM,2230,01
9,ORGANIC CHEMISTRY I,LEC,3,MTRF,10:30,12:20PM,Aldersley,40,0,40,15010,CHEM,2250,01
10,INTERACTIVE DATA VISUALIZATION,STU,4,MTR,4:00,6:50PM,Search,10,0,10,15266,COMM,4880,01
11,INTERACTIVE DATA VISUALIZATION,STU,3,MTR,4:00,6:50PM,Search,4,0,4,15267,COMM,6880,01
12,INTERMEDIATE MACROECON THEORY,LEC,4,MTRF,1:30,3:35PM,Mahmoudi,50,0,50,15682,ECON,2020,02
13,ENVIRONMENTAL ECONOMICS,STU,4,MTRF,10:30,12:35PM,Parrales,40,0,40,15428,ECON,4230,01
14,INTRO TO ENGR ANALYSIS,LEC,4,MTRF,8:00,10:05AM,Abu-Hakmeh,50,0,50,14985,ENGR,1100,01
15,ENG GRAPHICS & CAD,LEC,1,MTR,10:30,12:35PM,Morris,20,0,20,14861,ENGR,1200,01
16,MATERIALS SCIENCE FOR ENGINEER,LEC,4,MTRF,10:30,12:35PM,Ramanath,60,0,60,15077,ENGR,1600,01
17,THERMAL AND FLUIDS ENGR I,LEC,4,MTRF,10:30,12:35PM,Oehlschlae,50,0,50,14984,ENGR,2250,01
18,PROFESSIONAL DEVEL III,LEC,1,MR,8:00,10:05AM,Schierenbe,45,0,45,15051,ENGR,4010,01
19,HISTORY AND CULTURE OF GAMES,LEC,4,MTRF,10:30,12:35PM,Lynch,19,0,19,15376,GSAS,1600,01
20,ANALOG ROLE-PLAYING GAMES,LEC,4,MR,1:30,3:35PM,Mizer,10,0,10,15719,GSAS,2962,01
21,ANALOG ROLE-PLAYING GAMES,LEC,4,MR,1:30,3:35PM,Mizer,9,0,9,15720,GSAS,2962,02
22,FILMS EVRY GAME DSGNR SHLD SEE,LEC,4,MTRF,6:00,8:05PM,Lynch,19,0,19,15721,GSAS,2963,01
23,PSYCHOLOGY AND GAMES,LEC,4,MTRF,10:30,12:35PM,Noble,30,0,30,15722,GSAS,2964,01
24,CHINESE I,LEC,4,MTRF,8:00,10:05AM,Yue,19,0,19,15344,LANG,1410,01
25,FORMS OF FICTION,LEC,4,MTRF,1:30,3:35PM,Anicca,19,0,19,15726,LITR,2960,01
26,WOMEN'S LITERATURE,LEC,4,MTRF,10:30,12:35PM,Anicca,19,0,19,15727,LITR,2961,01
27,PROPULSION SYSTEMS,LEC,3,MTRF,1:30,3:20PM,Oehlschlae,40,0,40,15485,MANE,4080,02
28,MULTIVAR CALC & MATRIX ALGEBRA,LEC,4,MTRF,1:30,3:35PM,Mitchell,60,0,60,15078,MATH,2010,01
29,NEGOTIATIONS,LEC,3,MW,2:00,5:20PM,Golden,15,0,15,15714,MGMT,4960,01
30,BUSINESS IMPL. OF EMERG. TECH,LEC,3,MW,10:00,1:20PM,Freeman,20,0,20,15379,MGMT,6060,01
31,NEGOTIATION,LEC,3,MW,2:00,5:20PM,Golden,15,0,15,15674,MGMT,6690,01
32,CRITICAL THINKING,LEC,4,MTRF,10:30,12:35PM,Van Heuvel,25,0,25,15013,PHIL,2100,01
33,PHYSICS I,LEC,4,MTRF,2:00,3:50PM,Kim,40,0,40,15079,PHYS,1100,01
34,COMPUTING FOR PHYSICISTS,LEC,2,TF,1:30,3:35PM,West,40,0,40,15443,PHYS,2962,01
35,CRITICAL THINKING,LEC,4,MTRF,10:30,12:35PM,Van Heuvel,25,0,25,15014,PSYC,2100,01
36,PSYCHOLOGY OF MINDFULNESS,LEC,4,MTRF,8:00,9:50AM,Traver,19,0,19,15668,PSYC,4430,01
37,POSITIVE PSYCHOLOGY,LEC,4,MTRF,8:00,10:05AM,Traver,120,0,120,15330,PSYC,4730,01
38,BIOETHICS,LEC,4,MTRF,10:30,12:35PM,Smith,35,0,35,15712,STSH,4250,01
39,PD2 TECH ISSUES & SOLUTIONS,LEC,2,MR,8:00,10:05AM,Hoffman,30,0,30,15702,STSS,4100,01
40,CREATIVE WRITING STUDIO,LEC,4,MTR,10:30,12:35PM,Dentz,19,0,19,15481,WRIT,2960,01
