course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_location,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section
ARCH EXP & PLAN ARCHITECTURE,SEM,0,,,,Bruce,,1200,26,1174,ADMN,2020-01-13,2020-05-08,SPRING 2020,95863,1030,01
ARCH EXP & PLAN ENGINEERING,SEM,0,,,,Bruce,,1200,656,544,ADMN,2020-01-13,2020-05-08,SPRING 2020,95446,1030,02
ARCH EXP & PLAN HUMANITIES,SEM,0,,,,Bruce,,1200,62,1138,ADMN,2020-01-13,2020-05-08,SPRING 2020,95864,1030,03
ARCH EXP & PLAN ITWS/UNDECIDED,SEM,0,,,,Bruce,,1200,37,1163,ADMN,2020-01-13,2020-05-08,SPRING 2020,95865,1030,04
ARCH EXP & PLAN MANAGEMENT,SEM,0,,,,Bruce,,1200,58,1142,ADMN,2020-01-13,2020-05-08,SPRING 2020,95866,1030,05
ARCH EXP & PLAN SCIENCE,SEM,0,,,,Bruce,,1200,396,804,ADMN,2020-01-13,2020-05-08,SPRING 2020,95867,1030,06
PORTFOLIO DEVELOPMENT,LAB,0,,,,Lopez,,65,58,7,ADMN,2020-01-13,2020-05-08,SPRING 2020,95800,1100,02
STUDENT SUCCESS LABS,LEC,0,T,4:00PM,4:50PM,Trzepacz,ACADMY AUD,150,57,93,ADMN,2020-01-13,2020-05-08,SPRING 2020,95118,1824,01
FIP SEMINAR,LEC,0,W,12:00PM,12:50PM,Mejia,,25,2,23,ADMN,2020-01-13,2020-05-08,SPRING 2020,94617,1962,02
FIP SEMINAR,LEC,0,W,12:00PM,12:50PM,Caihua,LOW 4040,25,5,20,ADMN,2020-01-13,2020-05-08,SPRING 2020,94620,1962,05
FIP SEMINAR,LEC,0,W,12:00PM,12:50PM,Roberts,VORHES NO,25,7,18,ADMN,2020-01-13,2020-05-08,SPRING 2020,94621,1962,06
FIP SEMINAR,LEC,0,T,4:00PM,4:50PM,Milford,,25,12,13,ADMN,2020-01-13,2020-05-08,SPRING 2020,94624,1962,09
FIP SEMINAR,LEC,0,T,4:00PM,4:50PM,Steigler,DARRIN 235,25,18,7,ADMN,2020-01-13,2020-05-08,SPRING 2020,94625,1962,10
