course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section
MATERIALS AND DESIGN,LEC,2,R,10:30,12:35PM,Staff,12,0,12,ARCH,2020-05-26,2020-08-21,SUMMER 2020,15343,2510,01
ARCHITECTURAL DESIGN STUDIO 5,LEC,5,MWR,2:00,5:50PM,Staff,32,0,32,ARCH,2020-05-26,2020-08-21,SUMMER 2020,15413,4770,01
ART HISTORY,LEC,4,MR,10:30,12:35PM,Wille Kiel,60,0,60,ARTS,2020-05-26,2020-08-21,SUMMER 2020,15371,1050,01
MUSIC AND TECHNOLOGY 1,STU,4,MR,8:00,10:05AM,Staff,19,0,19,ARTS,2020-05-26,2020-08-21,SUMMER 2020,15688,2020,01
"STARS, GALAXIES AND THE COSMOS",LEC,4,MR,8:00,10:05AM,Martin,40,0,40,ASTR,2020-05-26,2020-08-21,SUMMER 2020,15483,1960,01
EARTH AND SKY,LEC,4,TF,8:00,10:05AM,Martin,50,0,50,ASTR,2020-05-26,2020-08-21,SUMMER 2020,15348,2120,01
MOLECULAR BIOCHEMISTRY I,LEC,4,MR,10:30,12:35PM,Fraser,50,0,50,BCBP,2020-05-26,2020-08-21,SUMMER 2020,15338,4760,01
INTRODUCTION TO CELL BIOLOGY,LEC,4,MR,10:30,12:35PM,Klein,16,0,16,BIOL,2020-05-26,2020-08-21,SUMMER 2020,15671,2120,01
INTRODUCTION TO CELL BIOLOGY,LAB,4,T,12:30,4:30PM,Klein,16,0,16,BIOL,2020-05-26,2020-08-21,SUMMER 2020,15671,2120,01
MICROBIOLOGY LABORATORY,LAB,6,T,1:00,5:50PM,Bonocora,16,0,16,BIOL,2020-05-26,2020-08-21,SUMMER 2020,15411,4320,01
MICROBIOLOGY LABORATORY,REC,6,R,1:00,2:50PM,Bonocora,16,0,16,BIOL,2020-05-26,2020-08-21,SUMMER 2020,15411,4320,01
MOLECULAR BIOLOGY LAB,LAB,6,T,1:00,5:50PM,Rutledge,18,0,18,BIOL,2020-05-26,2020-08-21,SUMMER 2020,15370,4720,01
MOLECULAR BIOLOGY LAB,REC,6,R,1:00,2:50PM,Rutledge,18,0,18,BIOL,2020-05-26,2020-08-21,SUMMER 2020,15370,4720,01
MOLECULAR BIOCHEMISTRY I,LEC,4,MR,10:30,12:35PM,Fraser,50,0,50,BIOL,2020-05-26,2020-08-21,SUMMER 2020,15337,4760,01
BIOMATERIALS SCI & ENGINEERING,LEC,4,TF,10:30,12:35PM,Agarwal,29,0,29,BMED,2020-05-26,2020-08-21,SUMMER 2020,15451,2100,01
BIOMEDICAL ENGINEERING LAB,LEC,4,W,9:00,11:00AM,Agarwal,12,0,12,BMED,2020-05-26,2020-08-21,SUMMER 2020,15297,4010,01
BIOMEDICAL ENGINEERING LAB,LAB,4,T,1:30,4:30PM,Agarwal,12,0,12,BMED,2020-05-26,2020-08-21,SUMMER 2020,15297,4010,01
BIOMEDICAL ENGINEERING LAB,LEC,4,W,9:00,11:00AM,Agarwal,12,0,12,BMED,2020-05-26,2020-08-21,SUMMER 2020,15336,4010,02
BIOMEDICAL ENGINEERING LAB,LAB,4,R,1:30,4:30PM,Agarwal,12,0,12,BMED,2020-05-26,2020-08-21,SUMMER 2020,15336,4010,02
INORGANIC CHEMISTRY II,LEC,3,TF,1:30,3:35PM,Bonitatibu,10,0,10,CHEM,2020-05-26,2020-08-21,SUMMER 2020,15440,4010,01
MACROSCOPIC PHYSICAL CHEMISTRY,LEC,3,MR,8:30,10:05AM,Korenowski,40,0,40,CHEM,2020-05-26,2020-08-21,SUMMER 2020,15439,4410,01
PHYSICAL CHEM FOR LIFE SCIENCE,LEC,4,MR,8:30,10:05AM,Bello/Korenowski,40,0,40,CHEM,2020-05-26,2020-08-21,SUMMER 2020,15438,4440,01
MODERN TECHNIQUES IN CHEMISTRY,LEC,4,MR,8:00,9:35AM,Sprague,15,0,15,CHEM,2020-05-26,2020-08-21,SUMMER 2020,15308,4530,01
TRANSPORT PHENOMENA I,LEC,4,TF,8:00,10:05AM,Baysal,60,0,60,CHME,2020-05-26,2020-08-21,SUMMER 2020,15300,4010,01
TRANSPORT PHENOMENA II,LEC,4,TF,8:00,10:05AM,Plawsky/Woodcock,40,0,40,CHME,2020-05-26,2020-08-21,SUMMER 2020,15430,4020,01
CHEM PROCESS DYNAMICS & CNTRL,LEC,4,MR,6:00,8:05PM,Hedden/Titus,80,0,80,CHME,2020-05-26,2020-08-21,SUMMER 2020,15301,4030,01
CHEMICAL ENGINEERING PRO SIMUL,LEC,3,TF,10:15,11:50AM,Baysal,40,0,40,CHME,2020-05-26,2020-08-21,SUMMER 2020,15374,4966,01
BEHAVIORAL NEUROSCIENCE,LEC,4,MR,1:30,3:35PM,Walf,19,0,19,COGS,2020-05-26,2020-08-21,SUMMER 2020,15329,4360,01
COGNITION AND THE BRAIN,LEC,4,MR,10:30,12:35PM,Walf,19,0,19,COGS,2020-05-26,2020-08-21,SUMMER 2020,15476,4600,01
COMPUTER SCIENCE I,LEC,4,MR,10:30,12:10PM,Mushtaque/Hulbert,36,0,36,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15017,1100,01
COMPUTER SCIENCE I,LAB,4,W,10:30,12:35PM,Staff,36,0,36,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15017,1100,01
COMPUTER SCIENCE I,TES,4,R,4:00,6:05PM,Staff,36,0,36,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15017,1100,01
COMPUTER SCIENCE I,LEC,4,MR,10:30,12:10PM,Mushtaque/Hulbert,36,0,36,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15423,1100,02
COMPUTER SCIENCE I,LAB,4,W,10:30,12:35PM,Staff,36,0,36,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15423,1100,02
COMPUTER SCIENCE I,TES,4,R,4:00,6:05PM,Staff,36,0,36,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15423,1100,02
INTRODUCTION TO ALGORITHMS,LEC,4,TF,10:30,12:35PM,Goldschmid/Hulbert,45,0,45,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15680,2300,01
INTRODUCTION TO ALGORITHMS,LAB,4,W,10:30,12:35PM,Staff,45,0,45,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15680,2300,01
INTRODUCTION TO ALGORITHMS,TES,4,R,4:00,6:05PM,Staff,45,0,45,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15680,2300,01
INTRODUCTION TO ALGORITHMS,LEC,4,TF,10:30,12:35PM,Goldschmid/Hulbert,45,0,45,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15681,2300,02
INTRODUCTION TO ALGORITHMS,LAB,4,W,10:30,12:35PM,Staff,45,0,45,CSCI,2020-05-26,2020-08-21,SUMMER 2020,15681,2300,02
