,Season,Year,Major,Course,Section,Start,End,Building,Room_Number
0,FALL,2024,ARCH,2150,1,2024-12-16 11:30:00,2024-12-16 14:30:00,ONLINE,NA
1,FALL,2024,ARCH,2160,1,2024-12-17 08:00:00,2024-12-17 11:00:00,CARNEGIE,113
2,FALL,2024,ARCH,2160,2,2024-12-17 08:00:00,2024-12-17 11:00:00,CARNEGIE,113
3,FALL,2024,ARCH,2330,1,2024-12-16 08:00:00,2024-12-16 11:00:00,ACADEMY,AUD
4,FALL,2024,ARCH,2330,3,2024-12-16 08:00:00,2024-12-16 11:00:00,ACADEMY,AUD
5,FALL,2024,ARCH,2350,1,2024-12-17 08:00:00,2024-12-17 11:00:00,SAGE,3510
6,FALL,2024,ARCH,2350,2,2024-12-17 08:00:00,2024-12-17 11:00:00,SAGE,3510
7,FALL,2024,ARCH,2350,3,2024-12-17 08:00:00,2024-12-17 11:00:00,SAGE,3510
8,FALL,2024,ARCH,2350,4,2024-12-17 08:00:00,2024-12-17 11:00:00,SAGE,3510
9,FALL,2024,ARCH,2510,1,2024-12-16 08:00:00,2024-12-16 11:00:00,LOW,4050
10,FALL,2024,ARCH,2510,3,2024-12-16 08:00:00,2024-12-16 11:00:00,LOW,4050
11,FALL,2024,ARCH,4050,1,2024-12-18 08:00:00,2024-12-18 11:00:00,SAGE,3510
12,FALL,2024,ARCH,4050,2,2024-12-18 08:00:00,2024-12-18 11:00:00,SAGE,3510
13,FALL,2024,ARCH,4050,3,2024-12-18 08:00:00,2024-12-18 11:00:00,SAGE,3510
14,FALL,2024,ARCH,4065,1,2024-12-17 18:30:00,2024-12-17 21:30:00,LOW,4034
15,FALL,2024,ARCH,4170,80,2024-12-16 18:30:00,2024-12-16 21:30:00,LOW,3112
16,FALL,2024,ARCH,4320,1,2024-12-16 08:00:00,2024-12-16 11:00:00,SAGE,4101
17,FALL,2024,ARCH,4320,2,2024-12-16 08:00:00,2024-12-16 11:00:00,SAGE,4101
18,FALL,2024,ARCH,4320,3,2024-12-16 08:00:00,2024-12-16 11:00:00,SAGE,4101
19,FALL,2024,ARCH,4320,4,2024-12-16 08:00:00,2024-12-16 11:00:00,SAGE,4101
20,FALL,2024,ARCH,4330,1,2024-12-17 08:00:00,2024-12-17 11:00:00,ACADEMY,AUD
