course_name,description,prerequisites,corequisites,,,,,,,,,,
ARCH EXP & PLAN ARCHITECTURE,none,none,none,,,,,,,,,,
ARCH EXP & PLAN ENGINEERING,none,none,none,,,,,,,,,,
ARCH EXP & PLAN HUMANITIES,none,none,none,,,,,,,,,,
ARCH EXP & PLAN ITWS/UNDECIDED,none,none,none,,,,,,,,,,
ARCH EXP & PLAN MANAGEMENT,none,none,none,,,,,,,,,,
ARCH EXP & PLAN SCIENCE,none,none,none,,,,,,,,,,
PORTFOLIO DEVELOPMENT,none,none,none,,,,,,,,,,
STUDENT SUCCESS LABS,none,none,none,,,,,,,,,,
FIP SEMINAR,none,none,none,,,,,,,,,,
FIP SEMINAR,none,none,none,,,,,,,,,,
FIP SEMINAR,none,none,none,,,,,,,,,,
FIP SEMINAR,none,none,none,,,,,,,,,,
FIP SEMINAR,none,none,none,,,,,,,,,,
FIP SEMINAR,none,none,none,,,,,,,,,,
FIP SEMINAR,none,none,none,,,,,,,,,,
FIP SEMINAR,none,none,none,,,,,,,,,,
FIP SEMINAR,none,none,none,,,,,,,,,,
FIP SEMINAR,none,none,none,,,,,,,,,,
FIP SEMINAR,none,none,none,,,,,,,,,,
FIP SEMINAR,none,none,none,,,,,,,,,,
FIP SEMINAR,none,none,none,,,,,,,,,,
FIP SEMINAR,none,none,none,,,,,,,,,,
ORIENTATION SMR FOR GRADUATES,none,none,none,,,,,,,,,,
TA TRAINING SEMINAR,none,none,none,,,,,,,,,,
ENVIRONMENTAL AND ECOL SYSTEM,"An exploration of the fundamental principles of human physiology, thermal and luminous comfort, and indoor quality. Emphasis is on bioclimatic and psychrometric climate analysis and its relationship to architectural design, understanding the energy exchange between body in space, the natural meaning of enclosures, and nonstructural materials and systems. The focus is on passive heating, cooling, and daylighting systems and their design. Exercises include vital sign analysis of existing spaces (thermal, air, luminous), forming hypotheses of building performance, using scientific instrumentation, tenant survey techniques, and physical modeling and simulation techniques related to daylighting and shading techniques.",['ARCH-2370'],"['PHYS-1500', 'ARCH-2830']",,,,,,,,,,
"ENERGY, COMFORT & ECOLOGY","This course addresses fundamental principles relating the environmental context to human needs and comfort. Topics include the principles of thermodynamics at the architectural scale, optimization versus variability, principles of building sites and orientations, psychometrics, and human comfort, and an introduction to energy modeling. This course is required of all students in the B.Arch. degree program.",[],[],,,,,,,,,,
DIGITAL CONSTRUCTS 2,This course builds upon topics covered in Digital Constructs 1 by focusing upon contemporary means of producing and communicating architectural ideas. Students will use digital methodologies through all phases of a project as well as advanced representation and digital fabrication techniques. The use of digital modeling as a sketch and iterative tool will be emphasized. Tools taught in Digital Constructs 2 will build upon those software programs taught in Digital Constructs 1. This course is required of all first-year architecture undergraduates in the B.Arch. program. Coordination of the relationship of course content to Architectural Design Studio 2 will be between the Digital Constructs 2 faculty instructor and the first-year architectural design studio coordinator and faculty.,['ARCH-2520'],['ARCH-2810'],,,,,,,,,,
DIGITAL CONSTRUCTS 2,This course builds upon topics covered in Digital Constructs 1 by focusing upon contemporary means of producing and communicating architectural ideas. Students will use digital methodologies through all phases of a project as well as advanced representation and digital fabrication techniques. The use of digital modeling as a sketch and iterative tool will be emphasized. Tools taught in Digital Constructs 2 will build upon those software programs taught in Digital Constructs 1. This course is required of all first-year architecture undergraduates in the B.Arch. program. Coordination of the relationship of course content to Architectural Design Studio 2 will be between the Digital Constructs 2 faculty instructor and the first-year architectural design studio coordinator and faculty.,['ARCH-2520'],['ARCH-2810'],,,,,,,,,,
DIGITAL CONSTRUCTS 4,"Building on techniques taught in Digital Constructs 3, this course will expand upon the role of technology in architecture by introducing advanced methods of design analysis and resolution. Students will learn to address issues of optimization, environmental surroundings, structure, and site by using various contemporary analytic software programs. This course is offered in the spring semester and is required of all second-year architecture undergraduates in the B.Arch. program. Coordination of the relationship of course content to Architectural Design Studio 4 will be between the Digital Constructs 4 faculty instructor and the second-year architectural design studio coordinator and faculty.",['ARCH-2540'],['ARCH-2830'],,,,,,,,,,
