course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_location,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section,short_name,full_name,description,raw_precoreqs,offer_frequency,prerequisites,corequisites
EFF COMM FOR CLASS PEDAGOGY,LEC,0,MR,2:00PM,3:50PM,Staff,,0,0,0,ADMN,2020-08-28,2020-12-21,FALL 2020,25790,1010,01,ADMN-1010,,,,,,
EFF COMM FOR CLASS PEDAGOGY,LEC,0,WF,8:00AM,9:50AM,Staff,,0,0,0,ADMN,2020-08-28,2020-12-21,FALL 2020,29381,1010,02,ADMN-1010,,,,,,
ARCH EXP & PLAN-ARCHITECTURE,SEM,0,,,,Bruce,,1200,1,1199,ADMN,2020-08-28,2020-12-21,FALL 2020,29356,1030,01,ADMN-1030,,,,,,
ARCH EXPL & PLAN-ENGINEERING,SEM,0,,,,Bruce,,1000,0,1000,ADMN,2020-08-28,2020-12-21,FALL 2020,29831,1030,02,ADMN-1030,,,,,,
ARCH EXPL & PLAN-HUMANITIES,SEM,0,,,,Bruce,,500,1,499,ADMN,2020-08-28,2020-12-21,FALL 2020,29832,1030,03,ADMN-1030,,,,,,
ARCH EXPL & PLAN-ITWS/UNDECL,SEM,0,,,,Bruce,,100,0,100,ADMN,2020-08-28,2020-12-21,FALL 2020,29833,1030,04,ADMN-1030,,,,,,
ARCH EXPL & PLAN-MANAGEMENT,SEM,0,,,,Bruce,,300,0,300,ADMN,2020-08-28,2020-12-21,FALL 2020,29834,1030,05,ADMN-1030,,,,,,
ARCH EXPL & PLAN-SCIENCE,SEM,0,,,,Bruce,,500,0,500,ADMN,2020-08-28,2020-12-21,FALL 2020,29835,1030,06,ADMN-1030,,,,,,
PORTFOLIO DEVELOPMENT,LAB,0,,,,Lopez,,65,1,64,ADMN,2020-08-28,2020-12-21,FALL 2020,29809,1100,01,ADMN-1100,,,,,,
STUDENT SUCCESS LABS,LEC,0,T,4:00PM,4:50PM,Trzepacz,,130,1,129,ADMN,2020-08-28,2020-12-21,FALL 2020,29416,1824,01,ADMN-1824,,,,,,
FIRST YEAR SEMINAR,LEC,0,W,4:00PM,4:50PM,Steigler,,50,0,50,ADMN,2020-08-28,2020-12-21,FALL 2020,26559,1961,01,ADMN-1961,,,,,,
FIRST YEAR SEMINAR,LEC,0,W,1:00PM,1:50PM,Steigler,,6,0,6,ADMN,2020-08-28,2020-12-21,FALL 2020,29366,1961,02,ADMN-1961,,,,,,
ORIENTATION SEM FOR GRADS,LEC,0,,,,Grega,,550,4,546,ADMN,2020-08-28,2020-12-21,FALL 2020,27433,6700,01,ADMN-6700,,,,,,
TA TRAINING SEMINAR,LEC,0,,,,Dunn,,500,0,500,ADMN,2020-08-28,2020-12-21,FALL 2020,27434,6800,01,ADMN-6800,,,,,,
THE ETHOS OF ARCHITECTURE,LEC,3,MR,10:00AM,11:20AM,Crandall,,92,4,88,ARCH,2020-08-28,2020-12-21,FALL 2020,28044,2150,01,ARCH-2150,The Ethos of Architecture,"This course will examine the spectrum of architectural phenomena and ideas without a specific chronology using examples ranging from antiquity to the contemporary world in western and non-western civilizations and produced in both vernacular and disciplinary cultures. An essential part of this course is to stimulate students' curiosity about architecture and the larger world and introduce them to key issues of architecture regarding space, form, critique, technology, aesthetics, societal and cultural contexts, etc. Particular emphasis will be given to the emergence of modernism in architecture. Crucial to the goals of this course is to encourage students to pursue and develop their own unique vision and voice in architecture throughout their education and practice. Fundamental to this process is making students aware of the necessity to challenge their own subjectivities, biases, and presuppositions.",Corequisite: ARCH 2160 Architectural Media.,Fall term annually.,[],['ARCH-2160']
ARCHITECTURAL MEDIA,LEC,2,R,12:00PM,1:50PM,Lopez,,90,1,89,ARCH,2020-08-28,2020-12-21,FALL 2020,28045,2160,01,ARCH-2160,Architectural Media,"This course continues the inquiry begun in ARCH 2150 The Ethos of Architecture and focuses especially on the implications that various media and means of representation have on the breadth of concerns within the history, theory, and critical practices of architecture and especially the generation of architecture.",Corequisite ARCH 2150 The Ethos of Architecture.,Fall term annually.,[],['ARCH-2150']
STRUCTURES 1,LEC,3,TF,10:00AM,11:20AM,Pilla,,75,65,10,ARCH,2020-08-28,2020-12-21,FALL 2020,25914,2330,01,ARCH-2330,Structures 1,"Introduction to Structures introduces the student of Architecture to the principles of structural mechanics and their application to basic architectural structures comprised primarily of wood. The fundamentals of statics are presented in order to gain an understanding of the way in which external forces produce internal stresses in individual members and, in essence, flow through the building system to be resolved at the foundation level. The principles of strength of materials are studied to understand how particular structural materials and configurations manage to resist these forces without unacceptable distortions, or even failure. Wood structural properties are studied in all their complexity as a means to internalize the more theoretical topics broached. Through in-class presentations, reading, homework and project work, computer lab, field trips, and case studies, the student will be aided in developing this intuitive (while practical) understanding. It is recognized that intuitions of building technologies are not acquired quickly but result from much study, observation, and practice. Introduction to Structures makes use of the several approaches above to ensure that the beginning student is provided with a broad, solid base for future structural investigations. WebCT will be used to expand the student's access to course materials and allow for a measure of distance learning. Sustainability: The following notions are introduced as important attributes of sustainable structures and construction: durability and service life and life cycle cost.",Prerequisite: ARCH 2510 except M.Arch. students.,Fall term annually.,['ARCH-2510'],[]
