course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_location,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section,short_name,full_name,description,raw_precoreqs,offer_frequency,prerequisites,corequisites,school
STUDENT SUCCESS LABS,LEC,0,T,4:00PM,4:50PM,Trzepacz,,130,0,130,ADMN,2023-08-28,2023-12-20,FALL 2023,63285,1824,01,ADMN-1824,,,,,,,Other
FIRST YEAR SEMINAR,LEC,0,W,4:00PM,4:50PM,Steigler,,50,0,50,ADMN,2023-08-28,2023-12-20,FALL 2023,60896,1961,01,ADMN-1961,,,,,,,Other
FIRST YEAR SEMINAR,LEC,0,W,1:00PM,1:50PM,Steigler,,20,0,20,ADMN,2023-08-28,2023-12-20,FALL 2023,63256,1961,02,ADMN-1961,,,,,,,Other
ORIENTATION SEM FOR GRADS,LEC,0,,,,Grega,,550,0,550,ADMN,2023-08-28,2023-12-20,FALL 2023,61710,6700,01,ADMN-6700,,,,,,,Other
TA TRAINING SEMINAR,LEC,0,,,,Mullet/Dunn,,500,0,500,ADMN,2023-08-28,2023-12-20,FALL 2023,61711,6800,01,ADMN-6800,,,,,,,Other
THE ETHOS OF ARCHITECTURE,LEC,3,MR,10:00AM,11:20AM,Bell,,90,0,90,ARCH,2023-08-28,2023-12-20,FALL 2023,62272,2150,01,ARCH-2150,The Ethos of Architecture,,,,[],[],Architecture
STRUCTURES 1,LEC,3,TF,10:00AM,11:20AM,Den Herder,,90,0,90,ARCH,2023-08-28,2023-12-20,FALL 2023,60286,2330,01,ARCH-2330,Structures 1,,,,[],[],Architecture
STRUCTURES 1,,3,,,,Staff,,45,0,45,ARCH,2023-08-28,2023-12-20,FALL 2023,64510,2330,02,ARCH-2330,Structures 1,,,,[],[],Architecture
CONSTRUCTION SYSTEMS,LEC,2,W,12:00PM,1:50PM,Stradley,,30,0,30,ARCH,2023-08-28,2023-12-20,FALL 2023,60866,2350,01,ARCH-2350,Construction Systems,,,,[],[],Architecture
CONSTRUCTION SYSTEMS,LEC,2,W,12:00PM,1:50PM,Combs,,30,0,30,ARCH,2023-08-28,2023-12-20,FALL 2023,63889,2350,02,ARCH-2350,Construction Systems,,,,[],[],Architecture
CONSTRUCTION SYSTEMS,LEC,2,W,12:00PM,1:50PM,Carter,,90,0,90,ARCH,2023-08-28,2023-12-20,FALL 2023,64383,2350,03,ARCH-2350,Construction Systems,,,,[],[],Architecture
CONSTRUCTION SYSTEMS,LEC,2,W,12:00PM,1:50PM,Staff,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,64456,2350,04,ARCH-2350,Construction Systems,,,,[],[],Architecture
MATERIALS AND DESIGN,LEC,2,W,10:00AM,11:50AM,Stradley,,90,0,90,ARCH,2023-08-28,2023-12-20,FALL 2023,62273,2510,01,ARCH-2510,Materials and Design,,,,[],[],Architecture
MATERIALS AND DESIGN,LEC,2,W,10:00AM,11:50AM,Piazzi,,45,0,45,ARCH,2023-08-28,2023-12-20,FALL 2023,63894,2510,02,ARCH-2510,Materials and Design,,,,[],[],Architecture
MATERIALS AND DESIGN,LEC,2,W,10:00AM,11:50AM,Carter,,45,0,45,ARCH,2023-08-28,2023-12-20,FALL 2023,64384,2510,03,ARCH-2510,Materials and Design,,,,[],[],Architecture
DIGITAL CONSTRUCTS I,LEC,2,W,2:00PM,4:00PM,Dayem,,80,0,80,ARCH,2023-08-28,2023-12-20,FALL 2023,62317,2520,01,ARCH-2520,Digital Constructs 1,,,,[],[],Architecture
DIGITAL CONSTRUCTS I,LEC,2,W,4:00PM,6:00PM,Sehwail,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,63891,2520,02,ARCH-2520,Digital Constructs 1,,,,[],[],Architecture
DIGITAL CONSTRUCTS I,LEC,2,W,4:00PM,6:00PM,White,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,64385,2520,03,ARCH-2520,Digital Constructs 1,,,,[],[],Architecture
DIGITAL CONSTRUCTS 3,LEC,2,W,4:00PM,6:00PM,Hower,,90,0,90,ARCH,2023-08-28,2023-12-20,FALL 2023,62481,2540,01,ARCH-2540,Digital Constructs 3,,,,[],[],Architecture
DIGITAL CONSTRUCTS 3,LEC,2,W,2:00PM,4:00PM,Staff,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,63890,2540,02,ARCH-2540,Digital Constructs 3,,,,[],[],Architecture
DIGITAL CONSTRUCTS 3,LEC,2,,,,Lintner,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,64511,2540,03,ARCH-2540,Digital Constructs 3,,,,[],[],Architecture
DIGITAL CONSTRUCTS 3,LEC,2,,,,Staff,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,64512,2540,04,ARCH-2540,Digital Constructs 3,,,,[],[],Architecture
ARCHITECTURAL DESIGN STUDIO 1,STU,5,MWR,2:00PM,5:50PM,Titus,,80,0,80,ARCH,2023-08-28,2023-12-20,FALL 2023,62292,2800,01,ARCH-2800,Architectural Design Studio 1,,,,[],[],Architecture
ARCHITECTURAL DESIGN STUDIO 1,STU,5,MWR,2:00PM,5:50PM,Sehwail,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,62332,2800,02,ARCH-2800,Architectural Design Studio 1,,,,[],[],Architecture
ARCHITECTURAL DESIGN STUDIO 1,STU,5,MWR,2:00PM,5:50PM,Piazzi,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,62333,2800,03,ARCH-2800,Architectural Design Studio 1,,,,[],[],Architecture
ARCHITECTURAL DESIGN STUDIO 1,STU,5,MWR,2:00PM,5:50PM,White,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,64401,2800,04,ARCH-2800,Architectural Design Studio 1,,,,[],[],Architecture
ARCHITECTURAL DESIGN STUDIO 1,STU,5,MWR,2:00PM,5:50PM,Staff,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,62334,2800,05,ARCH-2800,Architectural Design Studio 1,,,,[],[],Architecture
ARCHITECTURAL DESIGN STUDIO 1,LEC,5,MWR,2:00PM,5:50PM,Petela,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,62775,2800,06,ARCH-2800,Architectural Design Studio 1,,,,[],[],Architecture
ARCHITECTURAL DESIGN STUDIO 3,STU,5,MWR,2:00PM,5:50PM,Dayem,,90,0,90,ARCH,2023-08-28,2023-12-20,FALL 2023,62482,2820,01,ARCH-2820,Architectural Design Studio 3,,,,[],[],Architecture
ARCHITECTURAL DESIGN STUDIO 3,STU,5,MWR,2:00PM,5:50PM,Staff,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,62483,2820,02,ARCH-2820,Architectural Design Studio 3,,,,[],[],Architecture
ARCHITECTURAL DESIGN STUDIO 3,STU,5,MWR,2:00PM,5:50PM,Bell,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,62484,2820,03,ARCH-2820,Architectural Design Studio 3,,,,[],[],Architecture
ARCHITECTURAL DESIGN STUDIO 3,STU,5,MWR,2:00PM,5:50PM,Staff,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,64139,2820,04,ARCH-2820,Architectural Design Studio 3,,,,[],[],Architecture
ARCHITECTURAL DESIGN STUDIO 3,STU,5,MWR,2:00PM,5:50PM,Russo,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,63885,2820,05,ARCH-2820,Architectural Design Studio 3,,,,[],[],Architecture
ARCHITECTURAL DESIGN STUDIO 3,STU,5,MWR,2:00PM,5:50PM,Crandall,,0,0,0,ARCH,2023-08-28,2023-12-20,FALL 2023,64513,2820,06,ARCH-2820,Architectural Design Studio 3,,,,[],[],Architecture
