course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_location,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section,short_name,full_name,description,raw_precoreqs,offer_frequency,prerequisites,corequisites,school
ARCH EXP & PLAN ARCHITECTURE,LEC,0,,,,Cairns-Weaver,TBA,1000,0,1000,ADMN,2024-08-28,2024-12-20,FALL 2024,69353,1030,01,ADMN-1030,Arch Exp & Plan Architecture,    0.000 Credit hours,,,[],[],Interdisciplinary and Other
ARCH EXP & PLAN ENGINEERING,LEC,0,,,,Cary,TBA,1000,0,1000,ADMN,2024-08-28,2024-12-20,FALL 2024,69354,1030,02,ADMN-1030,Arch Exp & Plan Engineering,    0.000 Credit hours,,,[],[],Interdisciplinary and Other
ARCH EXP & PLAN HUMANITIES,LEC,0,,,,Cary,TBA,1000,0,1000,ADMN,2024-08-28,2024-12-20,FALL 2024,69355,1030,03,ADMN-1030,Arch Exp & Plan Humanities,    0.000 Credit hours,,,[],[],Interdisciplinary and Other
ARCH EXP & PLAN ITWS/UNDECIDED,LEC,0,,,,Cary,TBA,1000,0,1000,ADMN,2024-08-28,2024-12-20,FALL 2024,69356,1030,04,ADMN-1030,Arch Exp & Plan ITWS/UNDECIDED,    0.000 Credit hours,,,[],[],Interdisciplinary and Other
ARCH EXP & PLAN MGMT,LEC,0,,,,Cary,TBA,1000,0,1000,ADMN,2024-08-28,2024-12-20,FALL 2024,69357,1030,05,ADMN-1030,Arch Exp & Plan Mgmt,    0.000 Credit hours,,,[],[],Interdisciplinary and Other
ARCH EXP & PLAN SCIENCES,LEC,0,,,,Cary,TBA,1000,0,1000,ADMN,2024-08-28,2024-12-20,FALL 2024,69358,1030,06,ADMN-1030,Arch Exp & Plan Sciences,    0.000 Credit hours,,,[],[],Interdisciplinary and Other
ARCH EXP & PLANNING EXP,LEC,0,,,,Cairns-Weaver,TBA,1000,0,1000,ADMN,2024-08-28,2024-12-20,FALL 2024,69359,1030,07,ADMN-1030,Arch Exp & Planning Exp,    0.000 Credit hours,,,[],[],Interdisciplinary and Other
STUDENT SUCCESS LABS,LEC,0,T,4:00PM,4:50PM,Trzepacz,ACADMY AUD,125,0,125,ADMN,2024-08-28,2024-12-20,FALL 2024,68158,1824,01,ADMN-1824,Student Success Labs,    0.000 Credit hours,,,[],[],Interdisciplinary and Other
FIRST YEAR SEMINAR,LEC,0,W,4:00PM,4:50PM,Steigler,GREENE 120,50,0,50,ADMN,2024-08-28,2024-12-20,FALL 2024,65888,1961,01,ADMN-1961,First Year Seminar,    0.000 TO     4.000 Credit hours,,,[],[],Interdisciplinary and Other
FIRST YEAR SEMINAR,LEC,0,W,1:00PM,1:50PM,Steigler,DARRIN 232,20,0,20,ADMN,2024-08-28,2024-12-20,FALL 2024,68129,1961,02,ADMN-1961,First Year Seminar,    0.000 TO     4.000 Credit hours,,,[],[],Interdisciplinary and Other
