course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_location,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section,short_name,full_name,description,raw_precoreqs,offer_frequency,prerequisites,corequisites,school
ARCH EXP & PLAN ARCHITECTURE,SEM,0,,,,Bruce,,1200,0,1200,ADMN,2022-01-10,2022-05-06,SPRING 2022,64539,1030,01,ADMN-1030,,,,,,,Other
ARCH EXP & PLAN ENGINEERING,SEM,0,,,,Bruce,,1200,0,1200,ADMN,2022-01-10,2022-05-06,SPRING 2022,64168,1030,02,ADMN-1030,,,,,,,Other
ARCH EXP & PLAN HUMANITIES,SEM,0,,,,Bruce,,1200,0,1200,ADMN,2022-01-10,2022-05-06,SPRING 2022,64540,1030,03,ADMN-1030,,,,,,,Other
ARCH EXP & PLAN ITWS/UNDECIDED,SEM,0,,,,Bruce,,1200,0,1200,ADMN,2022-01-10,2022-05-06,SPRING 2022,64541,1030,04,ADMN-1030,,,,,,,Other
ARCH EXP & PLAN MANAGEMENT,SEM,0,,,,Bruce,,1200,0,1200,ADMN,2022-01-10,2022-05-06,SPRING 2022,64542,1030,05,ADMN-1030,,,,,,,Other
ARCH EXP & PLAN SCIENCE,SEM,0,,,,Bruce,,1200,0,1200,ADMN,2022-01-10,2022-05-06,SPRING 2022,64543,1030,06,ADMN-1030,,,,,,,Other
PORTFOLIO DEVELOPMENT,LAB,0,,,,Lopez,,65,0,65,ADMN,2022-01-10,2022-05-06,SPRING 2022,64486,1100,02,ADMN-1100,,,,,,,Other
STUDENT SUCCESS LABS,LEC,0,T,4:00PM,4:50PM,Trzepacz,,150,0,150,ADMN,2022-01-10,2022-05-06,SPRING 2022,63942,1824,01,ADMN-1824,,,,,,,Other
FIP SEMINAR,LEC,0,W,12:00PM,12:50PM,Clay,,25,0,25,ADMN,2022-01-10,2022-05-06,SPRING 2022,63494,1962,02,ADMN-1962,,,,,,,Other
FIP SEMINAR,LEC,0,W,12:00PM,12:50PM,Caihua,,25,0,25,ADMN,2022-01-10,2022-05-06,SPRING 2022,63497,1962,05,ADMN-1962,,,,,,,Other
