course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_location,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section,short_name,full_name,description,raw_precoreqs,offer_frequency,prerequisites,corequisites,school
DIGITAL CONSTRUCTS 4,LEC,2,W,2:00PM,3:50PM,Matthew Joseph Lopez,Darrin Communications Center 308,80,19,61,ARCH,2024-01-08,2024-04-24,SPRING 2024,92977,2550,01,ARCH-2550,Digital Constructs 4,"Building on techniques taught in Digital Constructs 3, this course will expand upon the role of technology in architecture by introducing advanced methods of design analysis and resolution. Students will learn to address issues of optimization, environmental surroundings, structure, and site by using various contemporary analytic software programs. This course is offered in the spring semester and is required of all second-year architecture undergraduates in the B.Arch. program. Coordination of the relationship of course content to Architectural Design Studio 4 will be between the Digital Constructs 4 faculty instructor and the second-year architectural design studio coordinator and faculty.",Prerequisite: ARCH 2540; Corequisite: ARCH 2830,When Offered: Spring term annually.,"['ARCH 2540', 'ARCH 2830']","['ARCH 2540', 'ARCH 2830']",Architecture
DIGITAL CONSTRUCTS 4,LEC,2,W,4:00PM,5:50PM,Edwin Jhinang Liu,Jonsson Engineering Center 4309,25,21,4,ARCH,2024-01-08,2024-04-24,SPRING 2024,93951,2550,02,ARCH-2550,Digital Constructs 4,"Building on techniques taught in Digital Constructs 3, this course will expand upon the role of technology in architecture by introducing advanced methods of design analysis and resolution. Students will learn to address issues of optimization, environmental surroundings, structure, and site by using various contemporary analytic software programs. This course is offered in the spring semester and is required of all second-year architecture undergraduates in the B.Arch. program. Coordination of the relationship of course content to Architectural Design Studio 4 will be between the Digital Constructs 4 faculty instructor and the second-year architectural design studio coordinator and faculty.",Prerequisite: ARCH 2540; Corequisite: ARCH 2830,When Offered: Spring term annually.,"['ARCH 2540', 'ARCH 2830']","['ARCH 2540', 'ARCH 2830']",Architecture
DIGITAL CONSTRUCTS 4,LEC,2,W,2:00PM,3:50PM,Hseng Tai Ja Reng Lintner,Lally Hall 102,25,20,5,ARCH,2024-01-08,2024-04-24,SPRING 2024,94680,2550,03,ARCH-2550,Digital Constructs 4,"Building on techniques taught in Digital Constructs 3, this course will expand upon the role of technology in architecture by introducing advanced methods of design analysis and resolution. Students will learn to address issues of optimization, environmental surroundings, structure, and site by using various contemporary analytic software programs. This course is offered in the spring semester and is required of all second-year architecture undergraduates in the B.Arch. program. Coordination of the relationship of course content to Architectural Design Studio 4 will be between the Digital Constructs 4 faculty instructor and the second-year architectural design studio coordinator and faculty.",Prerequisite: ARCH 2540; Corequisite: ARCH 2830,When Offered: Spring term annually.,"['ARCH 2540', 'ARCH 2830']","['ARCH 2540', 'ARCH 2830']",Architecture
DIGITAL CONSTRUCTS 4,LEC,2,W,4:00PM,5:50PM,Ryosuke Imaeda,Greene Building 120,25,18,7,ARCH,2024-01-08,2024-04-24,SPRING 2024,94938,2550,04,ARCH-2550,Digital Constructs 4,"Building on techniques taught in Digital Constructs 3, this course will expand upon the role of technology in architecture by introducing advanced methods of design analysis and resolution. Students will learn to address issues of optimization, environmental surroundings, structure, and site by using various contemporary analytic software programs. This course is offered in the spring semester and is required of all second-year architecture undergraduates in the B.Arch. program. Coordination of the relationship of course content to Architectural Design Studio 4 will be between the Digital Constructs 4 faculty instructor and the second-year architectural design studio coordinator and faculty.",Prerequisite: ARCH 2540; Corequisite: ARCH 2830,When Offered: Spring term annually.,"['ARCH 2540', 'ARCH 2830']","['ARCH 2540', 'ARCH 2830']",Architecture
COMPREHENSIVE DESIGN 2 CMPTNG,LEC,0,W,,,Emily Gruendel,TBA,60,47,13,ARCH,2024-01-08,2024-04-24,SPRING 2024,94940,4964,01,ARCH-4964,Comprehensive Design 2 Cmptng,,,,[],[],Architecture
PROFESSIONAL PRACTICE 2,LEC,2,T,6:00PM,7:50PM,David Jonathon Pacheco/Adam Francis Petela,Greene Building 120,5,4,1,ARCH,2024-01-08,2024-04-24,SPRING 2024,93167,5390,01,ARCH-5390,Professional Practice 2,"This course covers topics that are essential to developing an effective professional architectural practice. The course will address professional obligations and ethics, contracts, registration, office organization, and management. The course will emphasize effective communication, negotiating, public speaking, and team development. This course is required of all architecture graduate students in the M.Arch. program.",Prerequisite: ARCH 5380,When Offered: Spring term annually.,['ARCH 5380'],['ARCH 5380'],Architecture
SONICS RESEARCH LAB 2,LEC,2,W,9:00AM,10:50AM,Ning Xiang,Greene Building 204,20,4,16,ARCH,2024-01-08,2024-04-24,SPRING 2024,90379,6880,01,ARCH-6880,Sonics Research Lab 2,"The second semester of the Sonics Research Lab includes advanced acoustical measurement techniques. Another important part of the semester curriculum concerns noise sources, noise control, and vibration measurements. State-of-the-art, commercial software and school research-based software will be used for simulation/analysis/measurement of room acoustics in order to show the students how such technical tools assist in acoustics research and consulting practice for the design of performance and public spaces. The course will also give students a deeper theoretical understanding of architectural acoustics in order to assist them in room acoustics research. There will also be labs to reflect typical measurement procedures and (if time permits) site visits to acoustics research labs and different types of acoustical spaces. The Sonics Research Lab II emphasizes more training on independent hands-on and problem-solving skills (than the SRL I).  B.S. and B.Arch., and other school students can only register for the 4000 level of this course and M.S.Arch. students must register only for the 6000 level of this course.",Prerequisite: ARCH 6870/ARCH 4870 or instructor approval,When Offered: Spring term annually.,"['ARCH 6870', 'ARCH 4870']","['ARCH 6870', 'ARCH 4870']",Architecture
ARTIF. INTEL. IMAGINING ARCH,LEC,2,T,12:00PM,1:50PM,Ciro Najle,TBA,10,1,9,ARCH,2024-01-08,2024-04-24,SPRING 2024,95118,6967,01,ARCH-6967,ARTIF. INTEL. Imagining Arch,,,,[],[],Architecture
BEDFORD SEMINAR,LEC,3,W,12:00PM,1:50PM,James Norman Richardson,Russell Sage Laboratory 3705,10,5,5,ARCH,2024-01-08,2024-04-24,SPRING 2024,92495,4020,01,ARCH-4020,Bedford Seminar,"This interdisciplinary seminar consists of students from both the School of Architecture and Civil Engineering department. Presentation of a variety of structural typologies bears direct relation to practical experience and the necessity for constructive interdisciplinary discourse. Specific structural typologies are examined through historic and contemporary project examples that are critically deconstructed and critically analyzed with respect to their basic engineering principles and architectural concepts. Students will be exposed to the collaborative methods inherent within the architect/engineer relationship. The course consists of lectures concerning each topic, case studies, and presentations of relevant projects, an interdisciplinary design project and discussion of the projects and presentations with respect to interdisciplinary discourse. Content and delivery may vary by instructor. Taught with CIVL 4020.",Prerequisites/Corequisites: ARCH 2330 and ARCH 4330,When Offered: Fall and spring terms annually.,"['ARCH 2330', 'ARCH 4330']","['ARCH 2330', 'ARCH 4330']",Architecture
STRUCTURES 2,LEC,3,TF,10:00AM,11:20AM,Marc Anthony Tatarsky,Darrin Communications Center 236,10,9,1,ARCH,2024-01-08,2024-04-24,SPRING 2024,94244,4330,01,ARCH-4330,Structures 2,"This course builds on the material presented in Structures 1, with an emphasis on the analysis and design of structures compressed primarily of steel and site cast and pre-cast concrete, with an overview of load-bearing masonry and advanced systems. The theoretical concepts covered in the introduction course form the conceptual basis for work in Structures 2, with relevant new concepts/techniques covered. Innovative, non-normative structural systems are investigated and discussed. Analysis and design will proceed using primarily computer-aided techniques. The course approach will involve in-class presentations, homework and project work, computer lab, field trips, and case studies. WebCT will be used to expand the student's access to course materials and allow for a measure of distance learning. Sustainability: The following notions are introduced as important attributes of sustainable structures and construction: structural robustness, and programmatic flexibility. (Design optimization approaches are introduced and explored as avenues to accomplish more optimum design conditions under increasingly strict design constraints.)","Prerequisites: ARCH 2510 except M.Arch. students, ARCH 2350, ARCH 2330",When Offered: Fall term annually.,"['ARCH 2510', 'ARCH 2350', 'ARCH 2330']","['ARCH 2510', 'ARCH 2350', 'ARCH 2330']",Architecture
