course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_location,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section,short_name,full_name,description,raw_precoreqs,offer_frequency,prerequisites,corequisites,school
PD - TECH ISSUES & SOLUTIONS,LEC,2,W,10:00AM,11:50AM,Hirsa,JONSSN 4309,20,20,0,STSO,2024-01-08,2024-04-24,SPRING 2024,94134,4100,13,STSO-4100,Pd - Tech Issues & Solutions,"This course focuses on increasing students’ knowledge concerning the impact of non-technical issues on the viability of technical (engineering) designs and solutions. The non-technical issues to be considered include the cognitive and physical strengths and limitations of people in the chain spanning from product/equipment designers/manufacturers to end users, as well as economic, environmental, cultural, political, ethical, health and safety, and societal influences. During the course, students will read and discuss articles and case studies in which the technical solution pursued did not have the desired effect, or led to disaster. Possible explanations include a failure to take into account the environmental, economic, socio-cultural, and/or political issues associated with the technology’s ultimate usage.",,,[],[],"Humanities, Arts, and Social Sciences"
PD - TECH ISSUES & SOLUTIONS,LEC,2,M,2:00PM,3:50PM,Hirsa,LALLY 104,35,34,1,STSO,2024-01-08,2024-04-24,SPRING 2024,94133,4100,12,STSO-4100,Pd - Tech Issues & Solutions,"This course focuses on increasing students’ knowledge concerning the impact of non-technical issues on the viability of technical (engineering) designs and solutions. The non-technical issues to be considered include the cognitive and physical strengths and limitations of people in the chain spanning from product/equipment designers/manufacturers to end users, as well as economic, environmental, cultural, political, ethical, health and safety, and societal influences. During the course, students will read and discuss articles and case studies in which the technical solution pursued did not have the desired effect, or led to disaster. Possible explanations include a failure to take into account the environmental, economic, socio-cultural, and/or political issues associated with the technology’s ultimate usage.",,,[],[],"Humanities, Arts, and Social Sciences"
PD - TECH ISSUES & SOLUTIONS,LEC,2,R,2:00PM,3:50PM,Hirsa,LOW 3130,20,18,2,STSO,2024-01-08,2024-04-24,SPRING 2024,94135,4100,11,STSO-4100,Pd - Tech Issues & Solutions,"This course focuses on increasing students’ knowledge concerning the impact of non-technical issues on the viability of technical (engineering) designs and solutions. The non-technical issues to be considered include the cognitive and physical strengths and limitations of people in the chain spanning from product/equipment designers/manufacturers to end users, as well as economic, environmental, cultural, political, ethical, health and safety, and societal influences. During the course, students will read and discuss articles and case studies in which the technical solution pursued did not have the desired effect, or led to disaster. Possible explanations include a failure to take into account the environmental, economic, socio-cultural, and/or political issues associated with the technology’s ultimate usage.",,,[],[],"Humanities, Arts, and Social Sciences"
PD - TECH ISSUES & SOLUTIONS,LEC,2,F,2:00PM,3:50PM,Lyles,SAGE 2701,25,24,1,STSO,2024-01-08,2024-04-24,SPRING 2024,94131,4100,10,STSO-4100,Pd - Tech Issues & Solutions,"This course focuses on increasing students’ knowledge concerning the impact of non-technical issues on the viability of technical (engineering) designs and solutions. The non-technical issues to be considered include the cognitive and physical strengths and limitations of people in the chain spanning from product/equipment designers/manufacturers to end users, as well as economic, environmental, cultural, political, ethical, health and safety, and societal influences. During the course, students will read and discuss articles and case studies in which the technical solution pursued did not have the desired effect, or led to disaster. Possible explanations include a failure to take into account the environmental, economic, socio-cultural, and/or political issues associated with the technology’s ultimate usage.",,,[],[],"Humanities, Arts, and Social Sciences"
PD - TECH ISSUES & SOLUTIONS,LEC,2,T,2:00PM,3:50PM,Lyles,LOW 4034,30,25,5,STSO,2024-01-08,2024-04-24,SPRING 2024,94130,4100,09,STSO-4100,Pd - Tech Issues & Solutions,"This course focuses on increasing students’ knowledge concerning the impact of non-technical issues on the viability of technical (engineering) designs and solutions. The non-technical issues to be considered include the cognitive and physical strengths and limitations of people in the chain spanning from product/equipment designers/manufacturers to end users, as well as economic, environmental, cultural, political, ethical, health and safety, and societal influences. During the course, students will read and discuss articles and case studies in which the technical solution pursued did not have the desired effect, or led to disaster. Possible explanations include a failure to take into account the environmental, economic, socio-cultural, and/or political issues associated with the technology’s ultimate usage.",,,[],[],"Humanities, Arts, and Social Sciences"
PD - TECH ISSUES & SOLUTIONS,LEC,2,W,12:00PM,1:50PM,Hoffman,TROY 2018,35,34,1,STSO,2024-01-08,2024-04-24,SPRING 2024,94129,4100,08,STSO-4100,Pd - Tech Issues & Solutions,"This course focuses on increasing students’ knowledge concerning the impact of non-technical issues on the viability of technical (engineering) designs and solutions. The non-technical issues to be considered include the cognitive and physical strengths and limitations of people in the chain spanning from product/equipment designers/manufacturers to end users, as well as economic, environmental, cultural, political, ethical, health and safety, and societal influences. During the course, students will read and discuss articles and case studies in which the technical solution pursued did not have the desired effect, or led to disaster. Possible explanations include a failure to take into account the environmental, economic, socio-cultural, and/or political issues associated with the technology’s ultimate usage.",,,[],[],"Humanities, Arts, and Social Sciences"
PD - TECH ISSUES & SOLUTIONS,LEC,2,W,10:00AM,11:50AM,Hoffman,TROY 2018,30,30,0,STSO,2024-01-08,2024-04-24,SPRING 2024,94128,4100,07,STSO-4100,Pd - Tech Issues & Solutions,"This course focuses on increasing students’ knowledge concerning the impact of non-technical issues on the viability of technical (engineering) designs and solutions. The non-technical issues to be considered include the cognitive and physical strengths and limitations of people in the chain spanning from product/equipment designers/manufacturers to end users, as well as economic, environmental, cultural, political, ethical, health and safety, and societal influences. During the course, students will read and discuss articles and case studies in which the technical solution pursued did not have the desired effect, or led to disaster. Possible explanations include a failure to take into account the environmental, economic, socio-cultural, and/or political issues associated with the technology’s ultimate usage.",,,[],[],"Humanities, Arts, and Social Sciences"
PD - TECH ISSUES & SOLUTIONS,LEC,2,M,12:00PM,1:50PM,Hoffman,LOW 3045,35,34,1,STSO,2024-01-08,2024-04-24,SPRING 2024,94127,4100,06,STSO-4100,Pd - Tech Issues & Solutions,"This course focuses on increasing students’ knowledge concerning the impact of non-technical issues on the viability of technical (engineering) designs and solutions. The non-technical issues to be considered include the cognitive and physical strengths and limitations of people in the chain spanning from product/equipment designers/manufacturers to end users, as well as economic, environmental, cultural, political, ethical, health and safety, and societal influences. During the course, students will read and discuss articles and case studies in which the technical solution pursued did not have the desired effect, or led to disaster. Possible explanations include a failure to take into account the environmental, economic, socio-cultural, and/or political issues associated with the technology’s ultimate usage.",,,[],[],"Humanities, Arts, and Social Sciences"
PD - TECH ISSUES & SOLUTIONS,LEC,2,F,8:00AM,9:50AM,Lyles,SAGE 4112,20,18,2,STSO,2024-01-08,2024-04-24,SPRING 2024,94132,4100,05,STSO-4100,Pd - Tech Issues & Solutions,"This course focuses on increasing students’ knowledge concerning the impact of non-technical issues on the viability of technical (engineering) designs and solutions. The non-technical issues to be considered include the cognitive and physical strengths and limitations of people in the chain spanning from product/equipment designers/manufacturers to end users, as well as economic, environmental, cultural, political, ethical, health and safety, and societal influences. During the course, students will read and discuss articles and case studies in which the technical solution pursued did not have the desired effect, or led to disaster. Possible explanations include a failure to take into account the environmental, economic, socio-cultural, and/or political issues associated with the technology’s ultimate usage.",,,[],[],"Humanities, Arts, and Social Sciences"
DISSERTATION,LEC,15,,,,Shur,TBA,10,0,10,PHYS,2024-01-08,2024-04-24,SPRING 2024,92407,9990,24,PHYS-9990,Dissertation,,,,[],[],Science
DISSERTATION,LEC,15,,,,Zhang,TBA,10,2,8,PHYS,2024-01-08,2024-04-24,SPRING 2024,92553,9990,23,PHYS-9990,Dissertation,,,,[],[],Science
DISSERTATION,LEC,15,,,,Wetzel,TBA,10,0,10,PHYS,2024-01-08,2024-04-24,SPRING 2024,90478,9990,21,PHYS-9990,Dissertation,,,,[],[],Science
MASTER'S THESIS,LEC,12,,,,Amitay,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,93013,6990,21,MANE-6990,MASTER'S Thesis,,,,[],[],Engineering
MASTER'S THESIS,LEC,12,,,,Shi,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,93756,6990,20,MANE-6990,MASTER'S Thesis,,,,[],[],Engineering
MASTER'S THESIS,LEC,12,,,,Sahni,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,92103,6990,19,MANE-6990,MASTER'S Thesis,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,Lian,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,93144,6980,75,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,Tichy,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,93130,6980,60,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,Akin,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,95017,6980,59,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,Belanger,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,95014,6980,58,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,Merson,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,95011,6980,57,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,Tumuklu,TBA,10,1,9,MANE,2024-01-08,2024-04-24,SPRING 2024,95008,6980,56,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,Pogorelyuk,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,95005,6980,55,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,Tasciuc,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,92958,6980,50,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,TBA,TBA,0,0,0,MANE,2024-01-08,2024-04-24,SPRING 2024,93136,6980,45,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,Shi,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,93755,6980,38,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,Hughes,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,93249,6980,36,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,Danon,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,93222,6980,35,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,Narayan,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,93219,6980,34,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,Ghosh,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,93029,6980,33,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,Picu,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,93377,6980,32,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,De,TBA,10,0,10,MANE,2024-01-08,2024-04-24,SPRING 2024,93376,6980,31,MANE-6980,MASTER'S Project,,,,[],[],Engineering
MASTER'S PROJECT,LEC,9,,,,De,TBA,1,0,1,MANE,2024-01-08,2024-04-24,SPRING 2024,93374,6980,30,MANE-6980,MASTER'S Project,,,,[],[],Engineering
