course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_location,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section,short_name,full_name,description,raw_precoreqs,offer_frequency,prerequisites,corequisites,school
ARCH EXP & PLAN ENGINEERING,SEM,0,,,,Bruce,,500,0,500,ADMN,2022-05-23,2022-08-19,SUMMER 2022,17560,1030,01,ADMN-1030,,,,,,,Other
ARCH EXP & PLAN HUMANITIES,SEM,0,,,,Bruce,,500,0,500,ADMN,2022-05-23,2022-08-19,SUMMER 2022,17561,1030,02,ADMN-1030,,,,,,,Other
ARCH EXP & PLAN ITWS/UNDECIDED,SEM,0,,,,Bruce,,500,0,500,ADMN,2022-05-23,2022-08-19,SUMMER 2022,17562,1030,03,ADMN-1030,,,,,,,Other
ARCH EXP & PLAN MANAGEMENT,SEM,0,,,,Bruce,,500,0,500,ADMN,2022-05-23,2022-08-19,SUMMER 2022,17563,1030,04,ADMN-1030,,,,,,,Other
ARCH EXP & PLAN SCIENCE,SEM,0,,,,Bruce,,500,0,500,ADMN,2022-05-23,2022-08-19,SUMMER 2022,17564,1030,05,ADMN-1030,,,,,,,Other
STUDENT SUCCESS LABS,LEC,0,W,1:00PM,1:50PM,Trzepacz,,120,0,120,ADMN,2022-05-23,2022-08-19,SUMMER 2022,17355,1824,01,ADMN-1824,,,,,,,Other
SUMMER ADMINIST REGISTRATION,LEC,0,,,,Grega,,700,0,700,ADMN,2022-05-23,2022-08-19,SUMMER 2022,16865,6600,01,ADMN-6600,,,,,,,Other
TA TRAINING SEMINAR,LEC,0,,,,Mullet/Dunn,,500,0,500,ADMN,2022-05-23,2022-08-19,SUMMER 2022,17582,6800,01,ADMN-6800,,,,,,,Other
ARCHITECTURAL DESIGN STUDIO 5,LEC,5,MWR,2:00PM,5:50PM,Crembil,,15,0,15,ARCH,2022-05-23,2022-08-19,SUMMER 2022,17322,4770,01,ARCH-4770,Architectural Design Studio 5,,,,[],[],Architecture
ARCHITECTURAL DESIGN STUDIO 5,LEC,5,MWR,2:00PM,5:50PM,Hower,,15,0,15,ARCH,2022-05-23,2022-08-19,SUMMER 2022,17552,4770,02,ARCH-4770,Architectural Design Studio 5,,,,[],[],Architecture
