ARCHITECTURE,ARCH 2360,1,DCC 337,Monday,1-May,11:30AM-2:30PM
ARTS,ARTS 2380,1,WEST 323,Wednesday,3-May,3:00PM-6:00PM
ARTS,ARTS 4380,1,WEST 323,Wednesday,3-May,3:00PM-6:00PM
ARTS,ARTS 4460,1,SAGE 2411,Wednesday,3-May,3:00PM-6:00PM
ASTRONOMY,ASTR 1520,1,DCC 318,Thursday,4-May,11:30AM-2:30PM
BIOCHEMISTRY& BIOPHYSICS,BCBP 4550,1,SAGE 5510,Monday,1-May,3:00PM-6:00PM
BIOCHEMISTRY& BIOPHYSICS,BCBP 6420,1,SAGE 5510,Monday,1-May,3:00PM-6:00PM
BIOLOGY,BIOL 2120,(ALL SECTIONS),DCC 318,Tuesday,2-May,6:30PM-9:30PM
BIOLOGY,BIOL 4310,1,LOW 3051,Tuesday,2-May,3:00PM-6:00PM
BIOLOGY,BIOL 4550,1,SAGE 5510,Monday,1-May,3:00PM-6:00PM
BIOLOGY,BIOL 4850,1,LOW 3039,Wednesday,3-May,3:00PM-6:00PM
BIOLOGY,BIOL 6310,1,LOW 3051,Tuesday,2-May,3:00PM-6:00PM
BIOLOGY,BIOL 6420,1,SAGE 5510,Monday,1-May,3:00PM-6:00PM
BIOMEDICAL ENGINEERING,BMED 2050,(ALL SECTIONS),JEC 5119,Thursday,4-May,6:30PM-9:30PM
BIOMEDICAL ENGINEERING,BMED 2100,1,JEC 5119,Wednesday,3-May,11:30AM-2:30PM
BIOMEDICAL ENGINEERING,BMED 2100,2,LOW 3045,Wednesday,3-May,11:30AM-2:30PM
BIOMEDICAL ENGINEERING,BMED 2540,1,JEC 4309,Tuesday,2-May,11:30AM-2:30PM
BIOMEDICAL ENGINEERING,BMED 2540,2,JEC 5119,Tuesday,2-May,11:30AM-2:30PM
BIOMEDICAL ENGINEERING,BMED 4200,1,LOW 3051,Monday,1-May,11:30AM-2:30PM
BIOMEDICAL ENGINEERING,BMED 4250,1,EATON 216,Wednesday,3-May,11:30AM-2:30PM
BIOMEDICAL ENGINEERING,BMED 4410,1,CARNEG 113,Monday,1-May,3:00PM-6:00PM
BIOMEDICAL ENGINEERING,BMED 4480,1,DCC 324,Monday,1-May,3:00PM-6:00PM
BIOMEDICAL ENGINEERING,BMED 6410,1,CARNEG 113,Monday,1-May,3:00PM-6:00PM
BIOMEDICAL ENGINEERING,BMED 6480,1,DCC 324,Monday,1-May,3:00PM-6:00PM
CHEMISTRY,CHEM 1100,(ALL SECTIONS),SAGE 3303,Tuesday,2-May,11:30AM-2:30PM
CHEMISTRY,CHEM 1200,(ALL SECTIONS),DCC 308,Wednesday,3-May,11:30AM-2:30PM
CHEMISTRY,CHEM 1210,1,DCC 308,Wednesday,3-May,11:30AM-2:30PM
CHEMISTRY,CHEM 2030,1,JEC 4039,Tuesday,2-May,3:00PM-6:00PM
CHEMISTRY,CHEM 2260,1,WEST 220,Wednesday,3-May,3:00PM-6:00PM
CHEMISTRY,CHEM 4130,1,LOW 3130,Thursday,4-May,3:00PM-6:00PM
CHEMISTRY,CHEM 4200,1,LOW 3116,Monday,1-May,3:00PM-6:00PM
CHEMISTRY,CHEM 6130,1,LOW 3130,Thursday,4-May,3:00PM-6:00PM
CHEMICAL ENGINEERING,CHME 1100,(ALL SECTIONS),ACADEMY AUD,Tuesday,2-May,11:30AM-2:30PM
CHEMICAL ENGINEERING,CHME 2020,1,ACADEMY AUD,Thursday,4-May,3:00PM-6:00PM
CHEMICAL ENGINEERING,CHME 2050,1,JEC 5119,Thursday,4-May,11:30AM-2:30PM
CHEMICAL ENGINEERING,CHME 4010,1,LOW 4050,Tuesday,2-May,11:30AM-2:30PM
CHEMICAL ENGINEERING,CHME 4020,1,SAGE 3101,Wednesday,3-May,11:30AM-2:30PM
CHEMICAL ENGINEERING,CHME 4050,(ALL SECTIONS)*,DCC 337,Tuesday,2-May,8:00AM-11:00AM
CHEMICAL ENGINEERING,CHME 4050,(ALL SECTIONS)*,DCC 337,Tuesday,2-May,11:30AM-2:30PM
CHEMICAL ENGINEERING,CHME 4400,1,TROY 2018,Wednesday,3-May,11:30AM-2:30PM
CHEMICAL ENGINEERING,CHME 6440,1,TROY 2018,Wednesday,3-May,11:30AM-2:30PM
CHEMICAL ENGINEERING,CHME 6964,1,TROY 2015,Friday,5-May,6:30PM-9:30PM
CIVIL ENGINEERING,CIVL 1300,1,DCC 337,Monday,1-May,3:00PM-6:00PM
CIVIL ENGINEERING,CIVL 2060,(ALL SECTIONS),CARNEG 113,Tuesday,2-May,11:30AM-2:30PM
CIVIL ENGINEERING,CIVL 2630,(ALL SECTIONS),LOW 4050,Thursday,4-May,3:00PM-6:00PM
